"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 12:15:55 EET 2023","Wed Dec 06 12:16:15 EET 2023","20006","","","","","","Change language to English",""
"passed","Wed Dec 06 12:15:14 EET 2023","Wed Dec 06 12:15:34 EET 2023","19985","","","","","","Change language to German",""
"passed","Wed Dec 06 12:16:52 EET 2023","Wed Dec 06 12:17:10 EET 2023","18051","","","","","","Choose category ""Small Pets""",""
"broken","Wed Dec 06 12:20:11 EET 2023","Wed Dec 06 12:20:29 EET 2023","17685","","","","","","Sort by rating ascending",""
"failed","Wed Dec 06 12:18:36 EET 2023","Wed Dec 06 12:19:00 EET 2023","23822","","","","","","Sort by name ascending",""
"passed","Wed Dec 06 12:18:21 EET 2023","Wed Dec 06 12:18:36 EET 2023","15370","","","","","","Search for ""Ноутбуки""",""
"failed","Wed Dec 06 12:19:54 EET 2023","Wed Dec 06 12:20:11 EET 2023","16882","","","","","","Sort by price descending",""
"failed","Wed Dec 06 12:15:34 EET 2023","Wed Dec 06 12:15:55 EET 2023","20284","","","","","","Change language to Ukrainian",""
"passed","Wed Dec 06 12:12:14 EET 2023","Wed Dec 06 12:13:24 EET 2023","69931","","","","","","search for ""Pet"" and add second item to basket",""
"passed","Wed Dec 06 12:13:24 EET 2023","Wed Dec 06 12:15:14 EET 2023","110541","","","","","","search for ""Pet"" and add second and fourth item to basket",""
"passed","Wed Dec 06 12:17:47 EET 2023","Wed Dec 06 12:18:05 EET 2023","18344","","","","","","Choose category ""Food""",""
"passed","Wed Dec 06 12:17:28 EET 2023","Wed Dec 06 12:17:47 EET 2023","18357","","","","","","Choose category ""Birds""",""
"passed","Wed Dec 06 12:17:10 EET 2023","Wed Dec 06 12:17:28 EET 2023","18227","","","","","","Choose category ""Fishes""",""
"passed","Wed Dec 06 12:19:00 EET 2023","Wed Dec 06 12:19:29 EET 2023","29000","","","","","","Sort by name descending",""
"failed","Wed Dec 06 12:19:29 EET 2023","Wed Dec 06 12:19:54 EET 2023","25672","","","","","","Sort by price ascending",""
"failed","Wed Dec 06 12:11:32 EET 2023","Wed Dec 06 12:12:14 EET 2023","42449","","","","","","search for ""Pet"" and add first item to basket",""
"broken","Wed Dec 06 12:20:29 EET 2023","Wed Dec 06 12:20:47 EET 2023","17603","","","","","","Sort by rating descending",""
"passed","Wed Dec 06 12:16:34 EET 2023","Wed Dec 06 12:16:52 EET 2023","18127","","","","","","Choose category ""Cats""",""
"passed","Wed Dec 06 12:16:15 EET 2023","Wed Dec 06 12:16:34 EET 2023","19078","","","","","","Choose category ""Dogs""",""
"passed","Wed Dec 06 12:18:05 EET 2023","Wed Dec 06 12:18:21 EET 2023","15627","","","","","","Search for ""Корм""",""
